,l,f1,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/PATH,config/TEST,config/MULTI,config/OPT,config/MAX_EPOCHS,config/SAMPLES,config/SEED,config/K,config/BAYES,config/BATCH_SIZE,config/DROP_RATE,config/H_DIM,config/L1,config/LR,config/PATIENCE,config/REDUX,config/WEIGHT_DECAY,logdir
7,0.019336627962077475,0.6794871794871795,1747745523,checkpoint_000008,True,False,9,5f70123a,2025-05-20_14-52-03,10.51790738105774,96.26151490211487,352614,serious-teddaccio,192.168.1.11,96.26151490211487,9,./data/train/SemEval2018-T3-train-taskA_emoji.csv,./data/test/SemEval2018-T3_gold_test_taskA_emoji.csv,False,AdamW,20,15,42,5,True,32,0.2,32,0.000404844830930371,3.721472748360835e-05,4,,0.3519277622292243,5f70123a
0,0.018755571692401826,0.6828025477707006,1747744010,checkpoint_000017,True,False,18,accc393a,2025-05-20_14-26-50,10.621788263320923,191.3764021396637,350600,serious-teddaccio,192.168.1.11,191.3764021396637,18,./data/train/SemEval2018-T3-train-taskA_emoji.csv,./data/test/SemEval2018-T3_gold_test_taskA_emoji.csv,False,AdamW,20,15,42,5,True,32,0.3,32,8.162208522137106e-05,2.8144193577683268e-05,2,512.0,0.0007555819842162558,accc393a
4,0.039014935337436135,0.6872037914691943,1747744812,checkpoint_000002,True,False,3,60450d32,2025-05-20_14-40-12,9.8933584690094,31.93131160736084,351847,serious-teddaccio,192.168.1.11,31.93131160736084,3,./data/train/SemEval2018-T3-train-taskA_emoji.csv,./data/test/SemEval2018-T3_gold_test_taskA_emoji.csv,False,AdamW,20,15,42,5,True,16,0.5,32,2.6676453515405514e-06,6.152595645037198e-05,3,128.0,0.18790825363536917,60450d32
2,0.008999882490222991,0.69,1747744348,checkpoint_000006,True,False,7,5c3ac0a6,2025-05-20_14-32-28,12.573508024215698,89.30447554588318,351299,serious-teddaccio,192.168.1.11,89.30447554588318,7,./data/train/SemEval2018-T3-train-taskA_emoji.csv,./data/test/SemEval2018-T3_gold_test_taskA_emoji.csv,False,AdamW,20,15,42,5,True,64,0.3,128,0.00018765182601553063,0.000304803236065371,3,,0.13835685583885818,5c3ac0a6
1,0.019322066406929055,0.6903669724770642,1747744072,checkpoint_000002,True,False,3,bc62a2c6,2025-05-20_14-27-52,10.591817617416382,33.40420866012573,351059,serious-teddaccio,192.168.1.11,33.40420866012573,3,./data/train/SemEval2018-T3-train-taskA_emoji.csv,./data/test/SemEval2018-T3_gold_test_taskA_emoji.csv,False,AdamW,20,15,42,5,True,32,0.3,64,2.0772106712339252e-05,6.568088300504878e-05,4,128.0,0.0005131836222040172,bc62a2c6
