,l,f1,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/PATH,config/TEST,config/MULTI,config/OPT,config/MAX_EPOCHS,config/SAMPLES,config/SEED,config/K,config/BAYES,config/BATCH_SIZE,config/DROP_RATE,config/H_DIM,config/L1,config/LR,config/PATIENCE,config/REDUX,config/WEIGHT_DECAY,logdir
7,0.009988582883205713,0.6521739130434783,1747741580,checkpoint_000019,True,False,20,e5b1a9b2,2025-05-20_13-46-20,12.955373764038086,255.67757964134216,344424,serious-teddaccio,192.168.1.11,255.67757964134216,20,./data/train/SemEval2018-T3-train-taskA_emoji.csv,./data/test/SemEval2018-T3_gold_test_taskA_emoji.csv,False,AdamW,20,15,42,5,True,64,0.4,32,1.9885224107881236e-05,3.343420462672042e-05,3,,3.7977020985001726e-05,e5b1a9b2
6,0.01004751596151222,0.6551724137931034,1747741203,checkpoint_000010,True,False,11,08693984,2025-05-20_13-40-03,12.777321577072144,140.15205454826355,344138,serious-teddaccio,192.168.1.11,140.15205454826355,11,./data/train/SemEval2018-T3-train-taskA_emoji.csv,./data/test/SemEval2018-T3_gold_test_taskA_emoji.csv,False,AdamW,20,15,42,5,True,64,0.2,8,9.495945625252874e-06,2.3008590242572592e-05,3,128.0,0.0004530908053648426,08693984
11,0.019192760215379804,0.6641123882503193,1747742508,checkpoint_000016,True,False,17,434e6ce6,2025-05-20_14-01-48,10.493194818496704,180.39640307426453,346375,serious-teddaccio,192.168.1.11,180.39640307426453,17,./data/train/SemEval2018-T3-train-taskA_emoji.csv,./data/test/SemEval2018-T3_gold_test_taskA_emoji.csv,False,AdamW,20,15,42,5,True,32,0.2,8,3.888418325708891e-06,3.2593917029492975e-05,5,128.0,0.18762139049146767,434e6ce6
12,0.07928710391852244,0.6697892271662763,1747742599,checkpoint_000004,True,False,5,d68cab89,2025-05-20_14-03-19,10.32300853729248,53.531371116638184,346622,serious-teddaccio,192.168.1.11,53.531371116638184,5,./data/train/SemEval2018-T3-train-taskA_emoji.csv,./data/test/SemEval2018-T3_gold_test_taskA_emoji.csv,False,AdamW,20,15,42,5,True,8,0.4,8,1.072998138979179e-06,2.174541812277681e-05,2,256.0,0.0003753160884047268,d68cab89
14,0.019213661317425874,0.6715867158671587,1747743138,checkpoint_000014,True,False,15,5f910e50,2025-05-20_14-12-18,10.605191230773926,159.7094132900238,347124,serious-teddaccio,192.168.1.11,159.7094132900238,15,./data/train/SemEval2018-T3-train-taskA_emoji.csv,./data/test/SemEval2018-T3_gold_test_taskA_emoji.csv,False,AdamW,20,15,42,5,True,32,0.2,64,7.0396377167263345e-06,2.483187902387569e-05,2,128.0,0.0020794002689003745,5f910e50
