,l,f1,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/PATH,config/TEST,config/MULTI,config/OPT,config/MAX_EPOCHS,config/SAMPLES,config/SEED,config/K,config/BAYES,config/BATCH_SIZE,config/DROP_RATE,config/H_DIM,config/L1,config/LR,config/PATIENCE,config/REDUX,config/WEIGHT_DECAY,logdir
10,0.021723258791793702,0.5973645680819912,1747753875,checkpoint_000000,True,False,1,7f36d045,2025-05-20_17-11-15,35.780176401138306,35.780176401138306,412896,serious-teddaccio,192.168.1.11,35.780176401138306,1,./data/train/SemEval2018-T3-train-taskA_emoji.csv,./data/test/SemEval2018-T3_gold_test_taskA_emoji.csv,False,AdamW,20,15,42,5,True,32,0.4,16,0.00025965787086814837,0.00039068255484511543,3,128.0,1.679846117768695e-05,7f36d045
1,0.042952212441654106,0.6375176304654443,1747748716,checkpoint_000009,True,False,10,0e5fd2e1,2025-05-20_15-45-16,27.070258378982544,278.8719744682312,367629,serious-teddaccio,192.168.1.11,278.8719744682312,10,./data/train/SemEval2018-T3-train-taskA_emoji.csv,./data/test/SemEval2018-T3_gold_test_taskA_emoji.csv,False,AdamW,20,15,42,5,True,16,0.4,16,1.7620190567333168e-06,4.165163246877893e-05,2,,0.47309002888671225,0e5fd2e1
5,0.019026851778879215,0.6983729662077597,1747751457,checkpoint_000019,True,False,20,6a909cfc,2025-05-20_16-30-57,29.08229660987854,597.6983807086945,390790,serious-teddaccio,192.168.1.11,597.6983807086945,20,./data/train/SemEval2018-T3-train-taskA_emoji.csv,./data/test/SemEval2018-T3_gold_test_taskA_emoji.csv,False,AdamW,20,15,42,5,True,32,0.4,16,1.9986473626305714e-06,5.726580241174286e-05,3,128.0,5.840807552557494e-05,6a909cfc
4,0.01842670322088671,0.6985769728331177,1747750853,checkpoint_000019,True,False,20,b1a8a25d,2025-05-20_16-20-53,29.686821699142456,600.7405552864075,386867,serious-teddaccio,192.168.1.11,600.7405552864075,20,./data/train/SemEval2018-T3-train-taskA_emoji.csv,./data/test/SemEval2018-T3_gold_test_taskA_emoji.csv,False,AdamW,20,15,42,5,True,32,0.5,128,1.711600247691128e-06,3.0508102035544964e-05,5,512.0,0.0007310062344125022,b1a8a25d
8,0.01839588839970334,0.7031847133757961,1747753174,checkpoint_000016,True,False,17,d3636359,2025-05-20_16-59-34,29.52556824684143,505.9202959537506,399646,serious-teddaccio,192.168.1.11,505.9202959537506,17,./data/train/SemEval2018-T3-train-taskA_emoji.csv,./data/test/SemEval2018-T3_gold_test_taskA_emoji.csv,False,AdamW,20,15,42,5,True,32,0.4,128,2.392617911690248e-06,0.0001451298034299755,5,,0.007556030131287959,d3636359
